Region,Birth Rate,CO2 Emissions,Energy Usage,GDP,Health Exp/Capita,Lending Interest,Life Expectancy Female,Life Expectancy Male,Population Total
Africa,0.04,689,,1677447003,8,0.164,51,50,8987523
Africa,0.037,59,,84617971,59,0.374,66,62,144447
Africa,0.04,4547,2632,5333862344,26,,60,57,10390050
Africa,0.018,543,,698083345,371,0.106,77,69,83700
Africa,0.043,609,,1239004288,44,0.222,40,39,4493047
Africa,0.048,572,,,,,53,50,7825924
Africa,0.024,347687,109908,111101000000,205,0.158,55,52,45808736
Africa,0.041,,,,,,51,49,7186820
Africa,0.039,8119,15205,14803423335,18,,61,57,29186427
Africa,0.032,1126,,1224220675,58,0.153,47,46,1082183
Africa,0.042,3590,14916,10805600069,10,0.164,52,51,35806497
Africa,0.039,1232,2182,1474630199,14,,55,53,5123674
Africa,0.017,21016,7814,23141757278,128,,75,71,9781900
Africa,0.048,1668,,6178563467,18,0.191,50,50,25943441
Africa,0.045,1969,6633,3711284087,24,0.452,44,43,10625423
Africa,0.032,11932,9692,6342116354,,0.365,43,43,12640922
Asia,0.048,359,,4128818043,14,,57,55,22202806
Asia,0.013,3044,1876,2376335048,42,0.211,76,69,3047002
Asia,0.014,29615,11559,6236024951,34,0.174,70,65,8171950
Asia,0.026,33707,20756,47571130071,11,0.16,67,66,137006279
Asia,0.026,418,,537050133,71,0.153,62,62,598455
Asia,0.022,5321,2157,5843329102,526,0.055,78,75,346407
Asia,0.027,2208,3994,4284028138,22,,67,61,12709336
Asia,0.013,3694242,1253831,1453830000000,54,0.053,74,72,1280400000
Asia,0.012,3388,2544,3395778661,64,0.236,76,69,4357000
Asia,0.007,36952,13195,166349000000,,0.05,85,79,6744100
Asia,0.025,1226791,477540,523969000000,21,0.119,64,62,1076705723
Asia,0.021,306737,164879,195661000000,20,0.189,70,66,215038285
Asia,0.009,1216751,510390,3980820000000,2455,0.019,85,78,127445000
Asia,0.015,151946,39679,24636598581,61,,72,61,14858948
Asia,0.017,76109,19566,,,,70,63,23248059
Asia,0.01,465632,198667,609020000000,581,0.068,80,73,47622179
Asia,0.019,4848,2422,1605640633,17,0.248,72,64,4990700
Asia,0.029,1177,,1758176653,13,0.293,64,62,5545245
Asia,0.008,1525,,7008026415,,0.061,80,76,444150
Asia,0.021,135129,51009,100846000000,138,0.065,75,71,24413795
Asia,0.022,689,,828240882,152,0.135,73,70,282743
Asia,0.019,8287,2586,1396555772,28,0.355,67,61,2443231
Asia,0.02,9208,12968,,3,0.15,65,61,49261313
Asia,0.031,2710,8467,6050875807,14,0.068,64,62,24102862
Asia,0.029,114084,65775,72306820396,15,,65,64,149693684
Asia,0.029,71338,38767,81357657790,28,0.091,70,64,80953652
Asia,0.011,47231,21005,91941791944,632,0.053,81,77,4176000
Asia,0.019,11008,8199,17102623876,34,0.132,76,69,18921000
Asia,0.029,1881,2129,1221113795,9,0.147,68,61,6404118
Asia,0.014,215975,82257,126877000000,74,0.069,75,68,63797841
Asia,0.04,161,,426700000,19,,63,60,899367
Asia,0.023,40245,15811,4462028989,63,,68,60,4600171
Asia,0.021,126915,53188,9687951055,21,,70,64,25271850
Asia,0.017,70806,33441,37947904054,22,0.091,79,69,79538700
Europe,0.017,3751,1975,4449373456,89,0.153,78,72,3051427
Europe,0.011,532,,1456198796,1486,,,,71639
Europe,0.01,67179,30447,207537000000,2599,,82,76,8081957
Europe,0.009,52390,25262,14594925393,96,0.369,74,62,9865000
Europe,0.011,107531,56375,252795000000,2075,0.077,81,75,10332785
Europe,0.009,22919,4407,6651226179,122,0.127,77,73,3897579
Europe,0.009,44635,18861,15979194511,154,0.092,75,69,7868468
Europe,0.009,21877,8245,26524896398,375,0.128,78,71,4440000
Europe,0.013,7022,2143,10557366162,882,0.072,80,76,979877
Europe,0.009,120193,42535,78425201661,522,0.067,79,72,10196916
Europe,0.012,49266,19004,173881000000,3023,0.071,79,75,5375931
Europe,0.01,14936,4713,7324390332,256,0.067,77,65,1379350
Europe,,763,,1268445919,,,82,77,47751
Europe,0.011,61078,34819,135184000000,2032,0.048,82,75,5200598
Europe,0.013,380840,261182,1452030000000,2497,0.066,83,76,61803229
Europe,0.009,828771,338553,2006590000000,2610,0.097,81,75,82488495
Europe,0.009,93670,28321,146050000000,1223,0.074,81,76,10983723
Europe,0.01,56094,25601,66389489264,495,0.102,77,68,10158608
Europe,0.014,2171,3285,8907207933,3156,0.154,83,79,287523
Europe,0.015,43762,14673,123016000000,2221,0.038,80,75,3931947
Europe,0.011,,,1897606791,,,82,75,78338
Europe,0.009,452632,172396,1225180000000,1761,0.065,83,77,57059007
Europe,0.021,,1894,2702427047,,,70,66,1702310
Europe,0.009,6652,4073,9314784080,248,0.08,77,65,2310173
Europe,0.012,,,2688617885,,,82,77,33821
Europe,0.009,13212,8865,14163949142,263,0.068,78,66,3443067
Europe,0.012,9417,3646,22568793525,4202,,82,75,446175
Europe,0.012,10935,2527,3791306758,170,0.184,76,71,2074441
Europe,0.01,2299,734,4296164768,839,0.06,81,76,395969
Europe,0.012,3986,3096,1661818168,37,0.235,71,63,3623062
Europe,,,,2905973022,2985,,,,32653
Europe,0.013,,,1284504509,180,,77,71,612325
Europe,0.013,172364,75706,437807000000,2411,0.04,81,76,16148929
Europe,0.012,37429,24912,191927000000,4418,0.087,82,77,4538159
Europe,0.009,296932,88855,198179000000,328,0.12,79,70,38230364
Europe,0.011,66820,25824,132286000000,1190,,81,74,10419631
Europe,0.01,92174,38140,45988510814,97,0.354,75,67,21730496
Europe,0.01,1557665,623098,345110000000,142,0.157,72,59,145408033
Europe,,,,879957210,2894,0.08,85,78,28064
Europe,0.01,,15891,15102567925,179,0.197,75,70,7500031
Europe,0.01,39252,18733,34638306042,256,0.103,78,70,5376912
Europe,0.009,15420,6830,23136352386,1000,0.132,80,72,1994530
Europe,0.01,314519,128757,686296000000,1215,0.043,83,76,41431558
Europe,0.011,57425,51784,250961000000,2599,0.056,82,78,8924958
Europe,0.01,40718,25888,286658000000,4190,0.039,83,78,7284753
Europe,0.021,205678,74248,232535000000,180,,75,68,65022300
Europe,0.009,318684,135601,42392896031,55,0.253,74,63,48202500
Europe,0.011,531939,218306,1620900000000,2065,0.04,81,76,59370479
Middle East,0.02,15698,6433,9632411109,510,0.084,76,74,732541
Middle East,0.018,402178,138011,116421000000,102,,72,69,67727274
Middle East,0.035,87260,27981,,9,,73,68,25238267
Middle East,0.021,63146,18809,112974000000,1334,0.099,82,78,6570000
Middle East,0.031,16887,5060,9580161951,189,0.102,74,71,5038000
Middle East,0.022,52753,20639,38138801497,661,0.065,74,73,2048232
Middle East,0.017,16039,5220,19152238806,546,0.166,77,74,3515604
Middle East,0.023,25471,8818,20049414986,278,0.085,75,71,2308409
Middle East,0.018,28482,13711,19363735706,833,,78,76,629745
Middle East,0.025,326407,116953,188551000000,375,,75,71,21825217
Middle East,0.029,39068,16735,21582248882,57,0.09,76,72,16994676
Middle East,0.016,84704,40578,109816000000,917,,76,74,3223969
Middle East,0.038,15764,5100,10693278292,27,0.177,62,60,18551068
Oceania,,,,,,,,,58729
Oceania,0.013,341002,109461,394442000000,1847,0.082,83,77,19651400
Oceania,0.024,836,,1842691481,79,0.081,71,65,816237
Oceania,0.019,737,,,,,76,70,245032
Oceania,0.021,,,,,,78,73,157241
Oceania,0.027,40,,72259046,76,,68,63,85799
Oceania,,84,,124735072,418,,,,52161
Oceania,0.028,147,,241543396,178,0.153,68,67,106983
Oceania,0.019,2428,,,,,79,71,221490
Oceania,0.014,33201,17119,66021205382,1244,0.072,81,77,3948500
Oceania,0.034,3513,,2999542369,24,0.139,62,57,5660267
Oceania,0.03,143,,256677700,83,0.114,73,67,176592
Oceania,0.035,172,,341663054,48,0.146,66,63,434880
Oceania,0.029,147,,181801947,92,0.114,73,69,99083
Oceania,0.031,84,,262603782,52,0.074,70,67,193950
The Americas,0.02,363,,806505874,433,0.114,76,71,80030
The Americas,0.018,123266,55386,123607000000,225,0.517,78,71,37627545
The Americas,0.013,2255,,1941094972,,0.131,76,71,94995
The Americas,0.016,1577,,6957996000,1183,0.06,76,70,309039
The Americas,0.013,1228,,3168600000,677,0.085,76,71,269524
The Americas,0.028,359,,932676403,162,0.148,75,68,251766
The Americas,0.013,524,,3937228000,,,81,76,62912
The Americas,0.03,9567,3527,7905485216,58,0.206,66,62,8843350
The Americas,0.02,332267,195759,504221000000,203,0.629,75,67,179393768
The Americas,0.011,519163,248220,752532000000,2254,0.042,82,77,31362000
The Americas,,469,,,,,,,44742
The Americas,0.016,55361,25568,70984568429,331,0.078,81,75,15819522
The Americas,0.022,55661,25205,97933392356,135,0.163,75,68,41216304
The Americas,0.019,6326,3073,16844378578,332,0.264,80,76,4093840
The Americas,0.012,26091,11729,33590400000,195,,79,75,11212125
The Americas,,,,,,,,,128804
The Americas,0.015,103,,326998081,237,0.11,79,75,69806
The Americas,0.024,21500,7476,26570402719,176,0.261,74,68,8935261
The Americas,0.025,24690,9177,28548945000,105,0.158,77,71,13030041
The Americas,0.023,6040,4232,14306700000,184,,75,65,6008308
The Americas,0.017,539,,1169136691,,,71,65,56609
The Americas,0.019,205,,544381962,353,0.113,73,68,102099
The Americas,0.036,11096,7248,20776536920,110,0.169,72,65,11765738
The Americas,0.022,1580,,722460912,56,0.163,67,60,750629
The Americas,0.03,1826,2309,3214632479,20,0.342,60,56,8859635
The Americas,0.03,6091,3380,7776459964,88,0.227,73,69,6495801
The Americas,0.018,10301,3586,9718989517,180,0.185,74,68,2615253
The Americas,0.023,391251,150843,741559000000,396,0.082,77,72,106723661
The Americas,0.027,4037,2636,5224213019,57,0.183,74,68,5248577
The Americas,0.023,5871,2625,12272400000,310,0.106,78,73,3178450
The Americas,0.027,3898,3885,6325151760,79,0.387,73,69,5571371
The Americas,0.023,27187,11873,53992755100,102,0.208,74,69,26729909
The Americas,0.014,,,72546194000,,,82,74,3823701
The Americas,,,,,,,,,32566
The Americas,0.017,198,,478067954,374,0.109,74,69,46934
The Americas,0.018,326,,723027643,289,0.126,74,70,160217
The Americas,0.017,,,,,,81,74,27450
The Americas,0.019,187,,462641610,168,0.116,73,68,108150
The Americas,0.022,2252,,1078402128,161,0.222,72,65,480099
The Americas,0.015,26890,12540,9008273516,352,0.125,73,65,1277723
The Americas,,99,,,,,,,21740
The Americas,0.014,5650950,2255957,10980200000000,5578,0.047,80,74,287625193
The Americas,0.016,4620,2538,13606494599,449,1.184,79,71,3327500
The Americas,0.023,193262,57515,92889586976,207,0.366,76,70,25333622
The Americas,0.015,,,,,,81,75,108208
Africa,0.02,92533,30698,67863832648,74,0.081,71,68,33003442
Africa,0.05,9065,9004,14188949240,45,0.961,49,46,15421075
Africa,0.041,2321,2386,3557229702,21,,58,55,7665681
Africa,0.026,4265,1907,7511538765,190,0.164,48,47,1832602
Africa,0.045,1078,,4205691122,19,,53,51,12659086
Africa,0.043,165,,784654424,6,0.182,50,48,7264340
Africa,0.041,3795,6766,13621809574,39,0.18,53,51,17223277
Africa,0.038,235,,1139754772,13,0.18,46,43,3829636
Africa,0.05,381,,2736666451,17,0.18,48,46,9311234
Africa,0.039,99,,324470869,21,0.118,60,57,570491
Africa,0.047,1698,18503,8937565919,6,,49,46,50972323
Africa,0.039,1085,999,3495868725,27,0.18,54,52,3363418
Africa,0.037,5460,6578,13737482343,42,,47,46,16909801
Africa,0.029,407,,622044666,50,0.113,59,56,755085
Africa,0.024,147963,48971,82923680622,56,0.135,72,67,69432477
Africa,0.038,6018,,2484745876,101,0.18,49,47,568552
Africa,0.04,726,804,870247702,6,,60,55,4472533
Africa,0.041,4947,27648,8465744001,6,0.07,55,54,71989666
Africa,0.033,1335,1593,6054883172,174,0.18,61,58,1315820
Africa,0.045,315,,487038678,15,0.293,57,55,1348548
Africa,0.034,7631,8226,7632720680,18,,59,57,20301686
Africa,0.041,1342,,3446442219,18,,52,52,9204581
Africa,0.041,194,,465414408,20,,53,51,1360559
Africa,0.039,6755,14769,14904504019,20,0.166,54,52,33905011
Africa,0.03,,,969181551,36,0.16,44,44,1898757
Africa,0.041,532,,409000000,5,0.171,54,53,3124222
Africa,0.023,49167,17441,24062500000,194,0.07,75,71,5422612
Africa,0.039,1701,,5474030228,15,0.243,62,59,17245275
Africa,0.043,957,,2424656666,13,0.489,47,47,12238739
Africa,0.048,539,,4362439887,24,,50,51,11219737
Africa,0.037,1474,,1563072653,23,0.21,62,59,2965667
Africa,0.016,3146,,5609836354,188,0.21,76,69,1222811
Africa,0.021,37561,11018,49822651702,88,0.126,70,67,29586937
Africa,0.045,1918,8063,4666197195,15,0.247,49,46,19873460
Africa,0.03,1874,1076,4931280096,162,0.147,56,52,1981237
Africa,0.052,880,,2731416281,15,,53,53,12254040
Africa,0.043,93138,99007,67655840108,39,0.207,48,47,132550146
Africa,0.039,682,,1845979351,13,0.171,53,51,9126167
Africa,0.037,66,,101315400,78,0.296,66,62,147455
Africa,0.039,5013,2556,6858952717,35,,61,58,10673535
Africa,0.018,557,,703096503,403,0.106,76,66,82800
Africa,0.043,653,,1371442566,45,0.2,41,40,4712763
Africa,0.047,576,,,,,53,50,8037706
Africa,0.023,380811,117374,168219000000,310,0.15,54,51,46409243
Africa,0.041,,,,,,51,49,7449905
Africa,0.039,9072,14725,17646271397,23,,61,57,29973979
Africa,0.032,1041,,1854020496,98,0.146,46,46,1087929
Africa,0.042,3806,15491,11659129815,12,0.145,53,51,36760831
Africa,0.039,1463,2303,1673690390,18,,55,53,5258956
Africa,0.017,21397,8028,27453084983,151,,75,71,9839800
Africa,0.047,1709,,6336696289,18,0.189,51,51,26838428
Africa,0.045,2101,6828,4341841414,27,0.406,45,44,10894519
Africa,0.032,10627,9500,5727591778,,0.973,42,43,12673103
Asia,0.047,583,,4583648922,18,,57,55,23116142
Asia,0.014,3429,1981,2807061009,51,0.208,76,69,3036032
Asia,0.014,30616,12158,7275766111,57,0.155,71,65,8234100
Asia,0.025,33883,21713,51913661485,11,0.16,67,66,139185986
Asia,0.025,378,,622026107,51,0.15,63,62,616383
Asia,0.021,5357,2505,6557333067,575,0.055,79,75,353649
Asia,0.026,2380,4115,4658246907,26,,68,62,12934369
Asia,0.012,4525177,1427554,1640960000000,61,0.053,75,72,1288400000
Asia,0.012,3773,2705,3991374540,74,0.238,76,69,4328900
Asia,0.007,40066,13608,161385000000,,0.05,84,79,6730800
Asia,0.024,1281914,489507,618356000000,24,0.115,65,62,1093786762
Asia,0.021,316792,165366,234772000000,27,0.169,70,66,218145617
Asia,0.009,1237429,506237,4302940000000,2693,0.018,85,78,127718000
Asia,0.017,153816,43041,30833692831,77,,72,61,14909018
Asia,0.016,77777,20027,,,,71,64,23449180
Asia,0.01,466215,202717,680521000000,695,0.062,81,74,47859311
Asia,0.021,5328,2584,1919012781,21,0.191,72,65,5043300
Asia,0.029,1129,,2023324407,18,0.305,65,62,5619069
Asia,0.008,1536,,7926373572,,0.06,81,76,450711
Asia,0.02,160266,54619,110202000000,172,0.063,76,71,24890654
Asia,0.022,598,,949867662,199,0.14,74,71,287594
Asia,0.019,8034,2525,1595297301,48,0.319,68,61,2468595
Asia,0.02,9846,14064,,4,0.15,65,61,49577152
Asia,0.03,2952,8707,6330476435,14,0.074,65,63,24525527
Asia,0.029,118895,68695,83244801093,16,,65,64,152419974
Asia,0.028,71532,38822,83908205720,33,0.095,71,64,82604681
Asia,0.011,31133,25634,97002305536,823,0.053,82,77,4114800
Asia,0.019,10660,8682,18881765437,38,0.103,77,70,19173000
Asia,0.029,2076,2170,1554125543,11,0.167,69,61,6529609
Asia,0.013,232198,89107,142640000000,79,0.059,75,68,64488338
Asia,0.039,161,,436500000,24,0.167,63,60,933369
Asia,0.023,42215,17629,5977440583,95,,68,60,4648037
Asia,0.02,122683,51412,10128112401,20,,71,64,25567650
Asia,0.017,78767,35111,42717072778,25,0.095,79,70,80468400
Europe,0.016,4294,1976,5652325082,108,0.143,79,72,3033659
Europe,0.01,535,,1917948475,1891,,,,75643
Europe,0.01,72317,32214,253946000000,3223,,82,76,8121423
Europe,0.009,53722,26009,17825436035,120,0.24,75,63,9797000
Europe,0.011,114836,59242,311690000000,3000,0.069,81,75,10376133
Europe,0.009,23238,4400,8370020196,174,0.109,78,73,3895779
Europe,0.009,47308,19399,20668176834,201,0.085,76,69,7823557
Europe,0.009,23542,8812,34143409062,495,0.116,78,71,4440000
Europe,0.012,7748,2332,13319544758,1235,0.069,81,76,998142
Europe,0.009,122379,44415,95292530753,666,0.059,79,72,10193998
Europe,0.012,55735,20087,212622000000,3756,,80,75,5390574
Europe,0.01,17052,5188,9845187817,352,0.055,77,66,1370720
Europe,,777,,1486861879,,,82,77,48308
Europe,0.011,68888,36747,164256000000,2572,0.041,82,75,5213014
Europe,0.013,387591,265879,1792220000000,3137,0.066,83,76,62242474
Europe,0.009,833406,338070,2423810000000,3206,,81,76,82534176
Europe,0.01,95738,29141,192850000000,1579,0.068,81,77,11018324
Europe,0.009,59072,26136,83538373061,706,0.096,77,68,10129552
Europe,0.014,2167,3273,10969898924,4020,0.12,83,80,289521
Europe,0.015,43337,14061,158730000000,2918,0.028,81,76,3996521
Europe,,,,2264911807,,,,,79001
Europe,0.009,468349,179423,1514500000000,2157,0.058,83,77,57313203
Europe,0.018,,1994,3355083117,,,71,66,1703466
Europe,0.009,7088,4324,11186452601,295,0.054,77,66,2287955
Europe,0.01,,,3070803431,,,82,78,34141
Europe,0.009,12915,9253,18608709857,351,0.058,78,67,3415213
Europe,0.012,9905,3843,29144582393,4984,,81,75,451630
Europe,0.012,11309,2776,4756221629,212,0.16,76,71,2080866
Europe,0.01,2582,826,5119621569,1074,0.059,81,76,398582
Europe,0.012,4290,3360,1980901554,46,0.193,72,64,3612874
Europe,,,,3588988601,4216,,,,32968
Europe,0.013,,,1707662608,254,,76,71,613448
Europe,0.012,175041,78010,538313000000,3249,0.03,81,76,16225302
Europe,0.012,42625,27020,224881000000,5220,0.047,82,77,4564855
Europe,0.009,304856,91105,216801000000,354,0.073,79,71,38204570
Europe,0.011,61276,25129,161932000000,1514,,81,74,10458821
Europe,0.01,95940,39525,59466017706,146,0.254,75,68,21574326
Europe,0.01,1604973,645323,430348000000,167,0.13,72,59,144667468
Europe,,,,1122981525,2837,0.075,85,78,28700
Europe,0.011,,16635,19550781969,171,0.155,75,70,7480591
Europe,0.01,39494,18639,45837416479,360,0.085,78,70,5373374
Europe,0.009,15500,6912,29152072068,1263,0.108,81,73,1995733
Europe,0.01,321097,133196,883840000000,1730,,83,76,42187645
Europe,0.011,54781,50618,314713000000,3277,0.048,82,78,8958229
Europe,0.01,40205,25996,334575000000,5002,0.033,83,78,7339001
Europe,0.02,218509,77833,303005000000,232,,75,68,65938265
Europe,0.009,352259,144641,50132953288,73,0.179,74,63,47812950
Europe,0.012,540640,222080,1875140000000,2444,0.037,81,76,59647577
Middle East,0.02,16468,6752,11075116594,536,0.083,76,74,772058
Middle East,0.018,418859,142649,135410000000,97,,72,70,68543171
Middle East,0.035,91118,27086,,16,,73,68,25959531
Middle East,0.022,65122,19730,118673000000,1364,0.106,82,78,6689700
Middle East,0.03,17470,5176,10193023726,187,0.093,74,71,5164000
Middle East,0.022,61657,22001,47875837662,728,0.054,75,73,2116353
Middle East,0.016,18221,5220,20082918740,498,0.134,78,74,3690110
Middle East,0.022,32391,9350,21542262852,294,0.082,76,72,2389121
Middle East,0.017,36157,14185,23533790531,1476,,78,76,660238
Middle East,0.024,327272,121382,214573000000,384,,75,72,22852333
Middle East,0.028,54286,16543,21828144686,60,0.075,76,72,17298476
Middle East,0.016,106842,40190,124346000000,968,,76,74,3369254
Middle East,0.037,17305,5667,11777768087,35,0.18,63,60,19081306
Oceania,,,,,,,,,59117
Oceania,0.013,346476,110814,466663000000,2323,0.084,83,78,19895400
Oceania,0.024,862,,2315935753,95,0.076,71,66,817224
Oceania,0.019,799,,,,,76,71,248536
Oceania,0.02,,,,,,79,74,157823
Oceania,0.026,40,,90148518,103,,69,63,87371
Oceania,,84,,126887585,411,,,,52115
Oceania,0.028,147,,244990984,218,0.15,68,67,106816
Oceania,0.018,2750,,,,,79,72,225735
Oceania,0.014,33938,16847,87440435752,1602,0.07,81,77,4027200
Oceania,0.034,3968,,3536459120,25,0.134,62,58,5803302
Oceania,0.03,150,,301905953,93,0.113,74,67,177677
Oceania,0.035,180,,332736307,45,0.147,66,63,446335
Oceania,0.029,176,,208098552,106,0.113,74,69,99691
Oceania,0.031,81,,314463144,58,0.059,71,67,198952
The Americas,0.019,389,,849234754,457,0.128,77,72,80904
The Americas,0.018,133127,59047,156989000000,280,0.191,78,71,37970411
The Americas,0.013,2255,,2021301676,,0.115,76,72,97015
The Americas,0.016,1518,,6949317000,1237,0.06,76,70,315624
The Americas,0.013,1269,,3271200000,702,0.085,76,71,270844
The Americas,0.028,374,,990350000,174,0.143,75,68,258346
The Americas,0.013,510,,4186525000,,,81,76,63325
The Americas,0.03,14129,3688,8082396526,50,0.177,66,62,9016787
The Americas,0.019,321622,198976,552469000000,214,0.671,75,67,181752951
The Americas,0.011,553185,262038,887752000000,2680,0.047,82,77,31676000
The Americas,,480,,,,,,,46032
The Americas,0.016,55078,25833,77840186385,338,0.062,81,75,15995658
The Americas,0.022,57422,25736,94684582573,134,0.152,76,68,41872051
The Americas,0.018,6626,3297,17517536016,343,0.256,81,76,4171145
The Americas,0.012,25486,11662,35901500000,202,,79,75,11245926
The Americas,,,,,,,,,131253
The Americas,,114,,340803913,240,0.115,,,70058
The Americas,0.024,21888,7479,21268012747,143,0.314,74,68,9071318
The Americas,0.024,26523,9712,32432859000,164,0.136,77,71,13279806
The Americas,0.022,6553,4418,15046700000,182,,75,66,6029366
The Americas,0.016,532,,1426452030,,,71,66,56765
The Americas,0.019,216,,596339089,359,0.12,73,69,102369
The Americas,0.035,10502,7436,21917565500,116,0.15,73,66,12062835
The Americas,0.022,1566,,741929343,55,0.15,68,61,753612
The Americas,0.03,1734,2218,2826481072,17,0.442,60,57,8996229
The Americas,0.03,6769,3647,8140294080,103,0.208,74,69,6628171
The Americas,0.017,10722,3728,9430236065,162,0.189,74,68,2624695
The Americas,0.023,405633,153665,713284000000,397,0.07,78,73,108056312
The Americas,0.026,4411,2758,5322437648,61,0.155,74,68,5317878
The Americas,0.023,6153,2649,12933200000,303,0.099,78,73,3240805
The Americas,0.027,4070,3965,6588103836,71,0.5,73,69,5682350
The Americas,0.023,26380,11638,57840001637,102,0.21,74,69,27073334
The Americas,0.013,,,75833996000,,,82,74,3826095
The Americas,,,,,,,,,33791
The Americas,,220,,461576906,359,0.122,,,47679
The Americas,0.018,359,,781338353,299,0.15,74,70,161766
The Americas,0.017,,,,,,81,74,27363
The Americas,0.019,194,,482397041,174,0.118,73,69,108353
The Americas,0.021,2241,,1271196078,173,0.21,72,65,486867
The Americas,0.015,27697,13541,11235960523,449,0.112,73,65,1283868
The Americas,,103,,,,,,,23412
The Americas,0.014,5681664,2261151,11512200000000,5993,0.041,80,75,290107933
The Americas,0.016,4598,2523,12045627411,351,0.589,79,72,3325411
The Americas,0.023,192103,52881,83622191419,190,0.252,76,70,25797219
The Americas,0.014,,,,,,81,75,108085
Africa,0.02,89493,30974,85324997370,90,0.08,71,68,33461345
Africa,0.05,18793,9676,19640862550,63,0.823,49,47,15976715
Africa,0.041,2512,2491,4050869968,23,,58,55,7922796
Africa,0.026,4378,1857,8957491785,268,0.158,48,47,1854739
Africa,0.045,1104,,4838551014,24,,53,51,13034258
Africa,0.043,198,,915257323,9,0.183,51,48,7510771
Africa,0.041,3957,6959,15775356737,41,0.18,53,51,17674960
Africa,0.038,213,,1270080228,14,0.18,46,43,3893595
Africa,0.05,378,,4414929142,23,0.18,48,47,9665024
Africa,0.039,103,34,362420484,25,0.11,60,57,585389
Africa,0.046,1936,19231,10297481118,7,,49,46,52487293
Africa,0.039,1181,1020,4648628839,34,0.18,55,52,3448868
Africa,0.037,7664,9302,15481092596,50,,48,46,17144325
Africa,0.029,458,133,666072102,57,0.112,59,56,765776
Africa,0.024,150912,53536,78845185709,57,0.134,72,67,70591288
Africa,0.038,5218,762,4410764261,191,0.18,50,47,585983
Africa,0.04,770,744,1109054002,7,,60,56,4665522
Africa,0.04,5244,28377,9945571030,6,0.07,56,55,74066147
Africa,0.033,1767,1629,7178135606,180,0.18,61,59,1347125
Africa,0.044,323,108,578785601,18,0.365,58,55,1391934
Africa,0.034,7349,8267,8881419348,26,,59,57,20835514
Africa,0.04,1342,,3666349049,20,,52,52,9379621
Africa,0.04,202,86,522651788,20,,53,51,1390791
Africa,0.039,7624,15552,16095321631,20,0.125,55,53,34834606
Africa,0.029,,28,1234197704,45,0.124,44,43,1912022
Africa,0.041,627,,467000000,13,0.181,55,53,3184643
Africa,0.023,50359,17796,33384615385,205,0.061,75,72,5507000
Africa,0.038,1808,,4363934417,12,0.255,62,59,17763367
Africa,0.043,975,,2625127098,16,0.368,48,48,12569091
Africa,0.048,565,,4874178417,27,,51,51,11572936
Africa,0.037,1632,,1833445283,28,0.21,62,59,3055425
Africa,0.016,3194,1019,6385691315,227,0.21,76,69,1233386
Africa,0.02,43311,12221,56948015336,99,0.115,71,67,29855820
Africa,0.044,1922,8375,5697991241,16,0.221,49,46,20438827
Africa,0.03,1962,1163,6606866450,213,0.114,57,53,2003320
Africa,0.052,964,,3052898686,16,,53,53,12708897
Africa,0.043,97047,101751,87845403978,45,0.192,49,48,135999250
Africa,0.039,689,,2089188921,13,0.165,55,52,9254379
Africa,0.038,73,38,110723362,79,0.298,66,62,150842
Africa,0.039,5280,2736,8031344240,42,,62,58,10967568
Africa,0.017,744,256,839319935,421,0.1,76,69,82500
Africa,0.042,642,,1431208677,45,0.221,42,41,4928175
Africa,0.047,576,,,,,54,51,8249965
Africa,0.023,427132,128722,219093000000,410,0.113,53,51,47019452
Africa,0.04,,,,,,52,50,7730180
Africa,0.038,11382,14769,21457886199,29,,61,58,30778572
Africa,0.032,1030,406,2420610579,130,0.113,46,46,1094758
Africa,0.042,4353,16198,12825801917,12,0.141,53,52,37765139
Africa,0.038,1397,2327,1937074538,21,,55,53,5397851
Africa,0.017,22446,8463,31183139301,179,,75,71,9932400
Africa,0.047,1852,,7940362663,24,0.206,52,52,27766986
Africa,0.044,2131,7005,5439176376,33,0.307,46,45,11174650
Africa,0.032,9927,9269,5805598443,,2.789,43,44,12693047
Asia,0.046,733,,5285461999,19,,58,55,24018682
Asia,0.014,3645,2095,3576615240,65,0.186,76,70,3025652
Asia,0.016,32090,12786,8680511918,81,0.157,71,66,8306500
Asia,0.024,39750,22554,56560744012,12,0.148,68,67,141235035
Asia,0.024,308,180,702682018,49,0.15,63,63,633893
Asia,0.02,5361,2296,7872333197,658,0.055,79,75,360797
Asia,0.026,2446,3389,5337833256,29,,69,63,13149386
Asia,0.012,5288166,1639854,1931640000000,70,0.056,75,73,1296075000
Asia,0.012,4323,2781,5125273877,97,0.221,76,69,4318300
Asia,0.007,38415,12808,169100000000,,0.05,85,79,6783500
Asia,0.024,1348525,519165,721586000000,29,0.109,65,62,1110626108
Asia,0.021,337635,176238,256837000000,27,0.141,71,67,221293797
Asia,0.009,1259655,522488,4655800000000,2914,0.018,86,79,127761000
Asia,0.018,172158,50717,43151647003,114,,72,60,15012985
Asia,0.016,79482,20494,,,,72,64,23639303
Asia,0.01,482277,208284,764881000000,784,0.059,81,75,48039415
Asia,0.022,5699,2542,2211535312,25,0.293,72,64,5104700
Asia,0.028,1423,,2366398120,19,0.293,65,63,5699112
Asia,0.008,1727,,10258324479,,0.06,81,76,458542
Asia,0.019,167333,58691,124750000000,181,0.06,76,71,25365089
Asia,0.021,777,250,1075605492,217,0.13,75,72,292505
Asia,0.02,8551,2600,1992066759,56,0.315,69,61,2496248
